Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
1994,1,0.7588162161743321,1.0,0.5822454308093994,2,1,1,1,1,2.371449240653757,-0.3925056643863435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0.5245237586553015,0.8172047336160393,824.7238809931561,-0.48006666106258944
1972,1,2.0289625582363637,1.0,1.0000000000000002,5,2,3,1,2,2.371449240653757,1.7889405870123378,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,790,1.453843908195965,1.594792447453212,814.4775407650882,-0.2839745970279785
2008,14,1.1437090471022204,1.0,0.6657963446475197,8,8,2,1,4,2.371449240653757,2.021436099146718,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,770,1.8191153644976366,3.1131755593626482,828.4573085346004,0.08825607424522866
1974,1,2.5293232384426187,1.0,0.7911227154046998,5,10,3,2,2,2.371449240653757,0.19995870380963177,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0.7769201103400503,4.241136981908451,815.3664265365755,-0.2133502122869641
1957,12,-1.0116908060939545,1.0,0.9164490861618801,5,3,1,2,1,1.731460060572338,-0.8831440147742262,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.04962991820454493,0.7774478754771569,808.2934753162112,-0.2557248431315728
2003,12,2.5293232384426187,1.0,0.8746736292428199,5,3,2,1,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,838,2.1919728123288595,2.087570824538023,827.345091770554,-0.31970914401242545
1994,1,1.2206876132877982,1.0,0.8746736292428199,8,1,2,4,1,2.371449240653757,1.2357756618892526,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,623,1.2181895524645643,0.9880903356674566,822.6016229473116,-0.24159996618336982
1993,1,2.5293232384426187,1.0,0.8746736292428199,13,2,1,1,1,2.371449240653757,1.0101133586737687,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,664,1.12205492378167,1.7799185163422477,820.8092776051142,-0.5789407997000096
2010,14,0.9897519147310652,1.0,0.4569190600522193,8,9,3,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,376,2.485429925550358,3.3638660002079512,829.0896933907384,-0.17846037453039665
1999,1,0.6433483668959656,1.0,0.2898172323759791,8,4,1,1,1,2.371449240653757,-0.2147443870331621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0.6002520222998804,1.697440257690511,824.842163116686,-0.3811925224251693
2001,12,2.1444304075147302,1.0,0.8328981723237598,5,3,4,2,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,837,2.1919728123288595,1.9451661561618419,826.5295089616912,-0.3055842670642227
1994,14,0.7588162161743321,1.0,0.6240208877284597,5,12,2,1,1,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,283,1.5528895592019074,4.201380123769568,823.6932948713275,-0.4941915380107924
