Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Title_Encoded,Commercial_Impact,Entertainment_Quality,Cultural_Significance,Critical_Intensity
1994,1,0.7588162161743321,2.84695040559655,0.1554700353034734,2,1,1,1,1,2.371449240653757,-0.3925056643863435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0.5245237586553015,1.2397899816467048,824.8486907226513,-0.8588263718738889
1972,1,2.0289625582363637,2.84695040559655,2.0039656620074755,5,2,3,1,2,2.371449240653757,1.7889405870123378,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,790,1.4538439081959644,2.0173776954838765,814.1839327360916,-1.1464882359237385
2008,14,1.1437090471022204,2.84695040559655,0.5251691606442738,8,8,2,1,4,2.371449240653757,2.021436099146718,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,770,1.819115364497636,3.5357608073933084,828.4984347123972,-0.38725442218296324
1974,1,2.5293232384426187,2.84695040559655,1.0797178486554744,5,10,3,2,2,2.371449240653757,0.19995870380963177,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0.77692011034005,4.6637222299391095,815.2820273868248,-0.8339868871404938
1957,12,-1.0116908060939545,2.84695040559655,1.634266536666675,5,3,1,2,1,1.731460060572338,-0.8831440147742262,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.04962991820454499,1.2000331235078223,808.0835508389131,-1.0214876964104405
2003,12,2.5293232384426187,2.84695040559655,1.4494169739962748,5,3,2,1,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,838,2.1919728123288587,2.5101560725686864,827.1770090691049,-1.0370966044828471
1994,1,1.2206876132877982,2.84695040559655,1.4494169739962748,8,1,2,4,1,2.371449240653757,1.2357756618892526,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,623,1.2181895524645638,1.410675583698122,822.4335402458627,-0.9589874266537917
1993,1,2.5293232384426187,2.84695040559655,1.4494169739962748,13,2,1,1,1,2.371449240653757,1.0101133586737687,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,664,1.1220549237816695,2.2025037643729117,820.6411949036652,-1.2963282601704311
2010,14,0.9897519147310652,2.84695040559655,-0.39907865270772724,8,9,3,1,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,376,2.485429925550357,3.7864512482386115,829.3400284477812,-0.4120939069163583
1999,1,0.6433483668959656,2.84695040559655,-1.138476903389328,8,4,1,1,1,2.371449240653757,-0.2147443870331621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0.6002520222998804,2.1200255057211748,825.2598652771254,-0.4213244835773467
2001,12,2.1444304075147302,2.84695040559655,1.2645674113258747,5,3,4,2,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,837,2.1919728123288587,2.3677514041925054,826.4032680360914,-0.9745963347261983
1994,14,0.7588162161743321,2.84695040559655,0.3403195979738736,5,12,2,1,1,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,283,1.5528895592019067,4.623965371800227,823.7762628249735,-0.9213266416305378
1966,1,1.4901125949373202,2.84695040559655,1.0797178486554744,6,10,1,1,1,1.7257215295426822,-0.8475452476730567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,367,0.35586848876251653,4.279229625323421,811.3748702738109,-1.1713277206571333
2002,14,2.1829196906075192,2.84695040559655,0.8024435046498741,5,3,4,1,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,839,2.1919728123288587,2.3819918710301238,826.952315361458,-0.818345660334576
1999,1,0.527880517617599,2.84695040559655,-0.49150343404292735,1,1,1,1,1,2.371449240653757,2.021436099146718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,851,2.1125724777191346,1.1543471806209964,827.1903523280195,-0.38084377203803377
1990,1,0.9127733485454874,2.84695040559655,1.0797178486554744,10,11,1,4,1,2.371449240653757,-0.014116855404391067,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0.6857215623243844,4.373274930954924,820.5259817836793,-0.8339868871404938
1980,14,0.06600912050413299,2.84695040559655,0.3403195979738736,1,3,3,4,2,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,720,2.485429925550357,1.5987661949611287,819.0829874063776,-0.6620949859429538
1975,1,0.41241266833923257,2.84695040559655,0.4327443793090737,2,4,1,1,1,2.371449240653757,1.319069370725707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1.2536735905892986,2.0345827046954663,816.9035026098693,-0.9525767765088623
2020,6,1.4516233118445312,2.4692705958862105,1.0797178486554744,1,1,1,1,1,-0.7712257256766152,-0.051048807354761354,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,332,-0.6356017480506087,1.4097046317724788,835.9980882073564,-1.064368349638072
2019,1,0.3739233852464437,2.4692705958862105,1.634266536666675,3,3,1,1,1,1.1908667735332756,0.11951048217200748,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,304,0.25218822657345324,1.3413153126566053,834.4242625281478,-0.8813471137520914
2020,12,1.1821983301950094,2.4692705958862105,0.06304525396827329,1,1,3,2,1,-0.772393151920449,-0.051061566822260616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,703,-0.636092178170109,1.3100213639091525,835.9765761121612,-0.7206168659765031
2014,14,1.7980268596796307,2.4692705958862105,-0.39907865270772724,8,3,2,1,1,2.371449240653757,2.021436099146718,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,384,1.9257470070331293,2.153173449702591,831.2521293017307,-0.5643661915848809
2002,1,0.296944819060866,2.4692705958862105,0.06304525396827329,1,1,1,1,1,1.768577115912607,-0.8176055183744647,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0.0929699141951722,0.9824906266439364,828.5263763884592,-0.38327603245986364
2001,12,0.10449840359692184,2.4692705958862105,1.634266536666675,11,1,1,1,1,1.5797380329573345,-0.7666120848994561,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,668,0.7025571114365262,0.5717317130495614,824.0019113253866,-1.2518691589080186
1998,8,1.7980268596796307,2.4692705958862105,1.1721426299906745,13,12,5,2,1,2.371449240653757,2.021436099146718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,659,1.5528895592019067,4.922044223464564,822.4729469865742,-1.0956184845163963
1999,1,2.5293232384426187,2.4692705958862105,-1.6006008100653286,2,12,1,2,1,2.371449240653757,1.8264822079757075,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,800,1.4698370525538913,5.1926130933793075,827.4317505406244,0.17922639534997642
1997,12,-0.24190514423817772,2.4692705958862105,-1.7854503727357287,1,1,1,1,1,1.4703036546206607,0.20606055754044927,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,459,0.40514850419575804,0.49816322686316644,826.9974658280744,-0.09561416841001424
1995,1,0.18147696978249953,2.4692705958862105,-1.2309016847245282,8,2,4,1,1,2.371449240653757,1.0761311699675797,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,665,1.1501792391181462,1.2474215343268569,823.6312948066682,0.054225855836678605
1991,1,-0.16492657805260005,2.4692705958862105,0.6175939419794739,2,1,1,1,1,2.371449240653757,1.7025319655954692,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,882,1.417032882975774,0.8116050245925194,823.4718434279845,-0.20025479657388312
1977,14,-0.049458728774233525,2.4692705958862105,1.0797178486554744,1,3,3,4,1,2.371449240653757,2.021436099146718,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,719,2.485429925550357,1.469631041496923,817.6250517072809,-0.805136693950488
1962,1,0.41241266833923257,2.4692705958862105,0.6175939419794739,1,3,1,1,1,-0.8236297543989775,-0.05149889180341611,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,670,-0.3913383634209641,1.6405166435483403,811.8082001935948,-0.6488860195588657
